Trial,Image,ImageStimulus,Stimuli,Emotion,Interference,Condition,Jitter
62,Bark1,Bark1_NonInt,20,Neu,NonInt,Neu_NonInt,1700
63,1201,1201_NonInt,3,Neg,NonInt,Neg_NonInt,1700
64,9623,9623_NonInt,20,Neg,NonInt,Neg_NonInt,1700
65,1220,1220_NonInt,3,Neg,NonInt,Neg_NonInt,4250
66,Children1,Children1_Int,211,Pos,Int,Pos_Int,1700
67,Barrels1,Barrels1_NonInt,3,Neu,NonInt,Neu_NonInt,2550
68,8162,8162_Int,322,Pos,Int,Pos_Int,1700
69,5961,5961_Int,233,Neg,Int,Neg_Int,4250
70,9295,9295_NonInt,20,Neg,NonInt,Neg_NonInt,3400
71,2388,2388_Int,221,Pos,Int,Pos_Int,5100
72,5629,5629_Int,131,Pos,Int,Pos_Int,1700
73,2398,2398_Int,331,Pos,Int,Pos_Int,4250
74,Acorns2,Acorns2_Int,311,Neu,Int,Neu_Int,1700
75,Astronaut1,Astronaut1_NonInt,100,Pos,NonInt,Pos_NonInt,1700
76,7950,7950_NonInt,100,Neu,NonInt,Neu_NonInt,5100
77,7705,7705_NonInt,20,Neu,NonInt,Neu_NonInt,2550
78,2455,2455_Int,322,Neg,Int,Neg_Int,5950
79,9342,9342_Int,332,Neg,Int,Neg_Int,3400
80,Wall3,Wall3_NonInt,3,Neu,NonInt,Neu_NonInt,1700
81,2550,2550_Int,233,Pos,Int,Pos_Int,4250
82,5973,5973_NonInt,100,Neg,NonInt,Neg_NonInt,2550
83,ExcitedFace5,ExcitedFace5_Int,212,Pos,Int,Pos_Int,1700
84,8180,8180_Int,332,Pos,Int,Pos_Int,5100
85,Cups2,Cups2_Int,112,Neu,Int,Neu_Int,4250
86,2120,2120_NonInt,20,Neg,NonInt,Neg_NonInt,4250
87,7150,7150_Int,232,Neu,Int,Neu_Int,1700
88,Cardboard1,Cardboard1_NonInt,100,Neu,NonInt,Neu_NonInt,3400
89,Cups1,Cups1_Int,313,Neu,Int,Neu_Int,5950
90,Rainbow1,Rainbow1_Int,311,Pos,Int,Pos_Int,1700
91,6150,6150_Int,211,Neu,Int,Neu_Int,5950
92,2750,2750_NonInt,100,Neg,NonInt,Neg_NonInt,5950
93,7081,7081_Int,322,Neu,Int,Neu_Int,2550
94,2141,2141_NonInt,3,Neg,NonInt,Neg_NonInt,2550
95,9330,9330_Int,221,Neg,Int,Neg_Int,2550
96,9941,9941_NonInt,100,Neg,NonInt,Neg_NonInt,5100
97,9341,9341_NonInt,3,Neg,NonInt,Neg_NonInt,1700
98,2301,2301_NonInt,20,Neg,NonInt,Neg_NonInt,5950
99,Wall5,Wall5_NonInt,20,Neu,NonInt,Neu_NonInt,2550
100,5520,5520_Int,221,Neu,Int,Neu_Int,5950
101,1111,1111_NonInt,20,Neg,NonInt,Neg_NonInt,1700
102,1603,1603_NonInt,20,Pos,NonInt,Pos_NonInt,1700
103,9925,9925_NonInt,3,Neg,NonInt,Neg_NonInt,4250
104,9530,9530_Int,313,Neg,Int,Neg_Int,3400
105,1271,1271_Int,233,Neg,Int,Neg_Int,2550
106,2530,2530_NonInt,3,Pos,NonInt,Pos_NonInt,5100
107,5450,5450_NonInt,100,Pos,NonInt,Pos_NonInt,2550
108,7053,7053_NonInt,3,Neu,NonInt,Neu_NonInt,2550
109,Dancing6,Dancing6_Int,112,Pos,Int,Pos_Int,3400
110,Sunflower1,Sunflower1_NonInt,20,Pos,NonInt,Pos_NonInt,1700
111,8496,8496_Int,232,Pos,Int,Pos_Int,2550
112,1340,1340_NonInt,3,Pos,NonInt,Pos_NonInt,3400
113,5700,5700_NonInt,100,Pos,NonInt,Pos_NonInt,1700
114,9630,9630_Int,211,Neg,Int,Neg_Int,3400
115,9290,9290_NonInt,100,Neg,NonInt,Neg_NonInt,1700
116,7081,7081_NonInt,100,Neu,NonInt,Neu_NonInt,1700
117,7236,7236_NonInt,20,Neu,NonInt,Neu_NonInt,3400
118,7080,7080_NonInt,3,Neu,NonInt,Neu_NonInt,2550
119,9600,9600_Int,112,Neg,Int,Neg_Int,2550
120,7032,7032_Int,131,Neu,Int,Neu_Int,1700
121,7006,7006_NonInt,100,Neu,NonInt,Neu_NonInt,6800
122,Yarn2,Yarn2_NonInt,20,Neu,NonInt,Neu_NonInt,6800
123,Baby1,Baby1_NonInt,20,Pos,NonInt,Pos_NonInt,2550
124,Bubble2,Bubble2_Int,313,Pos,Int,Pos_Int,2550
125,Grass6,Grass6_Int,211,Pos,Int,Pos_Int,3400
126,2341,2341_NonInt,3,Pos,NonInt,Pos_NonInt,5950
127,1120,1120_Int,131,Neg,Int,Neg_Int,3400
128,5971,5971_int,332,Neg,Int,Neg_Int,2550
129,Fireworks2,Fireworks2_Int,322,Pos,Int,Pos_Int,2550
130,1050,1050_Int,232,Neg,Int,Neg_Int,2550
131,2278,2278_int,331,Neg,Int,Neg_Int,2550
132,2312,2312_NonInt,20,Neg,NonInt,Neg_NonInt,5950
133,9332,9332_int,311,Neg,Int,Neg_Int,5950
134,1930,1930_NonInt,3,Neg,NonInt,Neg_NonInt,1700
135,7233,7233_NonInt,3,Neu,NonInt,Neu_NonInt,1700
136,Sunset6,Sunset6_NonInt,100,Pos,NonInt,Pos_NonInt,5950
137,1630,1630_Int,221,Pos,Int,Pos_Int,1700
138,5611,5611_NonInt,20,Pos,NonInt,Pos_NonInt,1700
139,2399,2399_NonInt,100,Neg,NonInt,Neg_NonInt,6800
140,5831,5831_Int,131,Pos,Int,Pos_Int,3400
141,Fireworks7,Fireworks7_Int,331,Pos,Int,Pos_Int,4250
142,5480,5480_Int,233,Pos,Int,Pos_Int,5100
143,Chipmunk2,Chipmunk2_NonInt,3,Pos,NonInt,Pos_NonInt,4250
144,5740,5740_Int,331,Neu,Int,Neu_Int,2550
145,Paperclips1,Paperclips1_Int,233,Neu,Int,Neu_Int,3399
